000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
WAL,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
WAL,STP,000,000,000,000,000,000,000,000,000,000,000,000,000,000
WAL,WAL,000,000,000,000,000,000,000,000,000,000,000,000,WAL,000
WAL,WAL,000,000,000,000,000,000,000,000,000,000,000,000,WAL,STP
WAL,WAL,LAZ,000,000,000,000,WAL,000,000,000,000,000,000,WAL,WAL
WAL,WAL,WAL,000,WAL,000,WAL,WAL,WAL,000,000,000,000,000,WAL,WAL
WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,000,WAL,WAL,WAL
WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL
WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL
